operation_flag,target,n_true,pct_true,median_true,median_false,median_diff,mean_true,mean_false,mean_diff,corr,abs_median_diff,abs_corr
op_desembarque_passageiros,t_wait_for_berthing_h,2613,1.8415025194686212,0.0,0.0,0.0,1.1888187268784283,10.49438573062803,-9.305567003749601,-0.01959924332532843,0.0,0.01959924332532843
op_embarque_passageiros,t_wait_for_berthing_h,2606,1.8365692941964127,0.0,0.0,0.0,1.2267651573292402,10.493208126030533,-9.266442968701293,-0.019491171159935955,0.0,0.019491171159935955
op_fundeio,t_wait_for_berthing_h,1472,1.0373868000986644,0.0,0.0,0.0,1.538971920289855,10.415103295044258,-8.876131374754403,-0.014088865145997262,0.0,0.014088865145997262
op_descarga,t_wait_for_berthing_h,62067,43.741498995736286,0.0,0.0,0.0,9.826578536098088,10.709013963354545,-0.882435427256457,-0.006857569204717326,0.0,0.006857569204717326
op_arribada,t_wait_for_berthing_h,463,0.32629761443320765,0.0,0.0,0.0,4.349388048956084,10.342579119294077,-5.993191070337994,-0.005354287940857876,0.0,0.005354287940857876
op_fundeio_ship_to_ship,t_wait_for_berthing_h,97,0.06836040734345819,0.0,0.0,0.0,0.9941580756013746,10.329405092690541,-9.335247017089166,-0.0038223107874051864,0.0,0.0038223107874051864
op_reparo_manutencao,t_wait_for_berthing_h,352,0.2480707565453328,0.0,0.0,0.0,13.575520833333332,10.314934919659278,3.2605859136740545,0.0025409167722600045,0.0,0.0025409167722600045
op_navio_estado_sem_operacao_comercial,t_wait_for_berthing_h,207,0.1458825187638747,0.0,0.0,0.0,9.728341384863123,10.323892284455987,-0.5955508995928636,-0.00035608186413737305,0.0,0.00035608186413737305
op_retirada_residuos_sem_operacao_comercial,t_wait_for_berthing_h,204,0.14376827936149972,0.0,0.0,0.0,9.871813725490195,10.323673110265768,-0.4518593847755721,-0.00026820618282731335,0.0,0.00026820618282731335
op_navio_estado_marinha_brasil,t_wait_for_berthing_h,188,0.1324923358821664,0.0,0.0,0.0,10.703989361702128,10.322518059564217,0.3814713021379106,0.00021737806098517595,0.0,0.00021737806098517595
op_navio_estado_com_operacao_comercial,t_wait_for_berthing_h,190,0.13390182881708304,0.0,0.0,0.0,10.591315789473684,10.322663749808877,0.2686520396648078,0.00015390006100590898,0.0,0.00015390006100590898
op_retirada_residuos_com_operacao_comercial,t_wait_for_berthing_h,193,0.13601606821945805,0.0,0.0,0.0,10.426683937823833,10.322882292886952,0.10380164493688149,5.993080930164803e-05,0.0,5.993080930164803e-05
