CNPJ;Razão Social;Situação Cadastral;;;;;;;;;;;;;;;;
00.292.871/0001-26;AEROTRANS TRANSPORTES INTERMODAIS LTDA;Ativa;;;;;;;;;;;;;;;;
31.435.815/0001-27;AFFIANCE LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
10.452.435/0001-20;AFFINITY LOGISTICA INTERNACIONAL LTDA.;Ativa;;;;;;;;;;;;;;;;
28.634.189/0001-93;AFIANCI ASSESSORIA INTERNACIONAL LTDA.;Ativa;;;;;;;;;;;;;;;;
12.532.442/0001-68;AFX DO BRASIL AGENCIAMENTO DE TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
05.964.448/0001-49;AG'S COMERCIO DE EQUIPAMENTOS E MATERIAIS DE CONSTRUCAO LTDA;Ativa;;;;;;;;;;;;;;;;
45.010.139/0001-54;AGAVE CARGO SERVICE LTDA;Ativa;;;;;;;;;;;;;;;;
32.395.006/0001-00;AGEBRAS AGENCIA BRASILEIRA DE COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
04.731.709/0001-18;AGEMAR AGENCIAMENTOS MARITIMOS LIMITADA;Ativa;;;;;;;;;;;;;;;;
08.745.465/0001-83;AGEMAR TRANSPORTES E EMPREENDIMENTOS LTDA;Ativa;;;;;;;;;;;;;;;;
02.496.122/0001-46;AGEMBRAS AGENCIA MARITIMA BRASILEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
02.751.914/0001-10;AGENCIA ALAGOANA DE NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
12.485.975/0001-36;AGENCIA BRASILEIRA DE NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
40.832.016/0001-85;AGENCIA CONTINENTAL DE NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
13.006.853/0001-82;AGENCIA DE NAVEGACAO E DESPACHOS ANDRADE LTDA;Ativa;;;;;;;;;;;;;;;;
21.322.570/0001-78;AGENCIA DE NAVEGACAO E REPRESENTACOES DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
04.058.183/0001-57;AGENCIA DE TURISMO E CARGAS AGUIAR LTDA;Ativa;;;;;;;;;;;;;;;;
55.186.241/0001-69;AGENCIA DE VAPORES GRIEG S/A;Ativa;;;;;;;;;;;;;;;;
55.186.241/0007-54;AGENCIA DE VAPORES GRIEG S/A;Ativa;;;;;;;;;;;;;;;;
55.186.241/0009-16;AGENCIA DE VAPORES GRIEG S/A;Ativa;;;;;;;;;;;;;;;;
58.130.691/0001-28;AGENCIA DE VAPORES GRIEG SA;Ativa;;;;;;;;;;;;;;;;
58.130.691/0013-61;AGENCIA DE VAPORES GRIEG SA;Ativa;;;;;;;;;;;;;;;;
58.130.691/0002-09;AGENCIA DE VAPORES GRIEG SA;Ativa;;;;;;;;;;;;;;;;
58.130.691/0008-02;AGENCIA DE VAPORES GRIEG SA;Ativa;;;;;;;;;;;;;;;;
79.625.992/0001-00;AGENCIA EXPORTADORA E MARITIMA ARAUCARIA LTDA;Ativa;;;;;;;;;;;;;;;;
33.731.027/0001-03;AGENCIA FLUVIAL OLIVEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
62.299.459/0001-95;AGENCIA MACENAV SERVICOS DE NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
31.837.076/0001-08;AGENCIA MAR LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
46.561.885/0001-07;AGENCIA MARINE NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
04.223.673/0001-61;AGENCIA MARITIMA AMAZONIA LTDA;Ativa;;;;;;;;;;;;;;;;
16.484.453/0001-70;AGENCIA MARITIMA BRANDAO FILHOS LTDA;Ativa;;;;;;;;;;;;;;;;
16.484.453/0003-32;AGENCIA MARITIMA BRANDAO FILHOS LTDA;Ativa;;;;;;;;;;;;;;;;
16.484.453/0005-02;AGENCIA MARITIMA BRANDAO FILHOS LTDA;Ativa;;;;;;;;;;;;;;;;
41.422.825/0001-81;AGENCIA MARITIMA BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
52.711.108/0001-96;AGENCIA MARITIMA BRASILEIRA LTDA EM LIQUIDACAO EM LIQUIDACAO;Ativa;;;;;;;;;;;;;;;;
28.206.779/0001-15;AGENCIA MARITIMA BRASILEIRA RIO DE JANEIRO LTDA;Ativa;;;;;;;;;;;;;;;;
12.937.926/0001-97;AGENCIA MARITIMA CABO BRANCO LTDA;Ativa;;;;;;;;;;;;;;;;
06.055.642/0001-74;AGENCIA MARITIMA CARAJAS LTDA;Ativa;;;;;;;;;;;;;;;;
08.704.068/0001-63;AGENCIA MARITIMA CARGONAVE (SP) - LTDA;Ativa;;;;;;;;;;;;;;;;
80.010.663/0002-07;AGENCIA MARITIMA CARGONAVE LTDA;Ativa;;;;;;;;;;;;;;;;
80.010.663/0001-26;AGENCIA MARITIMA CARGONAVE LTDA;Ativa;;;;;;;;;;;;;;;;
80.010.663/0004-79;AGENCIA MARITIMA CARGONAVE LTDA;Ativa;;;;;;;;;;;;;;;;
80.010.663/0005-50;AGENCIA MARITIMA CARGONAVE LTDA;Ativa;;;;;;;;;;;;;;;;
80.010.663/0006-30;AGENCIA MARITIMA CARGONAVE LTDA;Ativa;;;;;;;;;;;;;;;;
00.733.331/0001-30;AGENCIA MARITIMA DODERO DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
05.435.165/0001-00;AGENCIA MARITIMA E TRANSPORTES LUMAR LTDA;Ativa;;;;;;;;;;;;;;;;
33.269.861/0001-29;AGENCIA MARITIMA FRANCARDES LTDA;Ativa;;;;;;;;;;;;;;;;
30.070.451/0001-66;AGENCIA MARITIMA FREEDOM LTDA;Ativa;;;;;;;;;;;;;;;;
30.070.451/0002-47;AGENCIA MARITIMA FREEDOM LTDA;Ativa;;;;;;;;;;;;;;;;
54.477.377/0001-65;AGENCIA MARITIMA GRANEL LTDA;Ativa;;;;;;;;;;;;;;;;
54.477.377/0002-46;AGENCIA MARITIMA GRANEL LTDA;Ativa;;;;;;;;;;;;;;;;
54.477.377/0003-27;AGENCIA MARITIMA GRANEL LTDA;Ativa;;;;;;;;;;;;;;;;
54.477.377/0005-99;AGENCIA MARITIMA GRANEL LTDA;Ativa;;;;;;;;;;;;;;;;
54.477.377/0004-08;AGENCIA MARITIMA GRANEL LTDA;Ativa;;;;;;;;;;;;;;;;
54.477.377/0006-70;AGENCIA MARITIMA GRANEL LTDA;Ativa;;;;;;;;;;;;;;;;
78.533.064/0001-45;AGENCIA MARITIMA IMBITUBA LTDA;Ativa;;;;;;;;;;;;;;;;
08.399.776/0001-38;AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
33.912.353/0005-40;AGENCIA MARITIMA MAGNUS LTDA;Ativa;;;;;;;;;;;;;;;;
33.912.353/0001-17;AGENCIA MARITIMA MAGNUS LTDA;Ativa;;;;;;;;;;;;;;;;
19.790.621/0001-44;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
19.790.621/0002-25;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
38.069.416/0001-39;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
19.790.621/0003-06;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
19.790.621/0004-97;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
19.790.621/0006-59;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
19.790.621/0005-78;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
19.790.621/0007-30;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
19.790.621/0008-10;AGENCIA MARITIMA NAABSA LTDA;Ativa;;;;;;;;;;;;;;;;
37.624.959/0001-08;AGENCIA MARITIMA NAABSA RIO GRANDE LTDA;Ativa;;;;;;;;;;;;;;;;
31.504.061/0001-10;AGENCIA MARITIMA OFFSHORE CONTINENTAL LTDA;Ativa;;;;;;;;;;;;;;;;
84.301.126/0001-96;AGENCIA MARITIMA OSNY EIRELI;Ativa;;;;;;;;;;;;;;;;
09.491.071/0001-09;AGENCIA MARITIMA PLURICOMERCIAL LTDA;Ativa;;;;;;;;;;;;;;;;
09.491.071/0002-90;AGENCIA MARITIMA PLURICOMERCIAL LTDA;Ativa;;;;;;;;;;;;;;;;
08.297.982/0001-37;AGENCIA MARITIMA POSIDONIA LTDA.;Ativa;;;;;;;;;;;;;;;;
24.485.443/0001-88;AGENCIA MARITIMA SANVICTOR LTDA;Ativa;;;;;;;;;;;;;;;;
04.402.530/0001-17;AGENCIA MARITIMA SCANSCOT LTDA;Ativa;;;;;;;;;;;;;;;;
04.402.530/0002-06;AGENCIA MARITIMA SCANSCOT LTDA;Ativa;;;;;;;;;;;;;;;;
47.215.644/0001-60;AGENCIA MARITIMA TRANSATLANTICA LTDA;Ativa;;;;;;;;;;;;;;;;
76.530.187/0001-05;AGENCIA MARITIMA TRANSCAR LTDA;Ativa;;;;;;;;;;;;;;;;
30.778.823/0001-03;AGENCIA MARITIMA UNIVERSAL LTDA;Ativa;;;;;;;;;;;;;;;;
52.102.338/0001-58;AGENCIA MARITIMA VENHADOZZI GROUP LTDA;Ativa;;;;;;;;;;;;;;;;
00.621.166/0001-25;AGENCIA MARTINS REPRESENTACOES MARITIMAS LTDA;Ativa;;;;;;;;;;;;;;;;
15.307.366/0001-85;AGENCIA MARTINS REPRESENTACOES MARITIMAS LTDA;Ativa;;;;;;;;;;;;;;;;
35.497.718/0001-10;AGENCIA PARAIBANA DE DESPACHOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
04.176.434/0001-06;AGENCIA SALES LTDA;Ativa;;;;;;;;;;;;;;;;
07.570.588/0001-68;AGENCIA SUL AMERICANA DE SERVICOS E REPRESENTACOES LTDA;Ativa;;;;;;;;;;;;;;;;
03.700.925/0001-33;AGENCIAMENTO DE TRANSPORTES SANTO EXPEDITO LTDA;Ativa;;;;;;;;;;;;;;;;
14.928.058/0001-04;AGENCIAMENTO MARITIMO DF LTDA;Ativa;;;;;;;;;;;;;;;;
14.928.058/0002-95;AGENCIAMENTO MARITIMO DF LTDA;Ativa;;;;;;;;;;;;;;;;
14.928.058/0003-76;AGENCIAMENTO MARITIMO DF LTDA;Ativa;;;;;;;;;;;;;;;;
80.296.288/0001-22;AGENT SERVICES AUXILIARES A NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
00.332.562/0001-32;AGENTES DE CARGAS ILHA DO MEL LTDA;Ativa;;;;;;;;;;;;;;;;
00.507.170/0001-67;AGENTS' HOUSE AGENCIAMENTO E ASSESSORIA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
06.179.735/0001-00;AGENTS' HOUSE DESPACHOS E AGENCIAMENTO LTDA;Ativa;;;;;;;;;;;;;;;;
27.954.430/0001-07;AGGIX TECNOLOGIA E GESTAO EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
13.608.368/0001-89;AGHIS INTERNATIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
07.602.590/0001-71;AGILE SHEKINAH GLOBAL LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
15.449.817/0001-19;AGILESLOG ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
06.080.470/0001-99;AGILITY AGENCIAMENTOS E DESPACHOS LTDA;Ativa;;;;;;;;;;;;;;;;
57.067.928/0001-00;AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;Ativa;;;;;;;;;;;;;;;;
57.067.928/0003-72;AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;Ativa;;;;;;;;;;;;;;;;
57.067.928/0005-34;AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;Ativa;;;;;;;;;;;;;;;;
