Razão Social;Situação Cadastral;Cidade;Estado
AGENCIA MARITIMA BRASIL LTDA;;Fortaleza;CE
AGENCIA MARITIMA BRASILEIRA LTDA EM LIQUIDACAO EM LIQUIDACAO;;Santos;SP
AGENCIA MARITIMA BRASILEIRA RIO DE JANEIRO LTDA;;Rio de Janeiro;RJ
AGENCIA MARITIMA CABO BRANCO LTDA;;Cabedelo;PB
AGENCIA MARITIMA CARAJAS LTDA;;São Luís;MA
AGENCIA MARITIMA CARGONAVE (SP) - LTDA;;Santos;SP
AGENCIA MARITIMA CARGONAVE LTDA;;São Francisco do Sul;SC
AGENCIA MARITIMA CARGONAVE LTDA;;Paranaguá;PR
AGENCIA MARITIMA CARGONAVE LTDA;;São Luís;MA
AGENCIA MARITIMA CARGONAVE LTDA;;Barcarena;PA
AGENCIA MARITIMA CARGONAVE LTDA;;Santarém;PA
AGENCIA MARITIMA DODERO DO BRASIL LTDA;;São Paulo;SP
AGENCIA MARITIMA E TRANSPORTES LUMAR LTDA;;Salvador;BA
AGENCIA MARITIMA FRANCARDES LTDA;;Rio de Janeiro;RJ
AGENCIA MARITIMA FREEDOM LTDA;;Santos;SP
AGENCIA MARITIMA FREEDOM LTDA;;Salvador;BA
AGENCIA MARITIMA GRANEL LTDA;;Santos;SP
AGENCIA MARITIMA GRANEL LTDA;;Salvador;BA
AGENCIA MARITIMA GRANEL LTDA;;Rio Grande;RS
AGENCIA MARITIMA GRANEL LTDA;;Porto Alegre;RS
AGENCIA MARITIMA GRANEL LTDA;;Recife;PE
AGENCIA MARITIMA GRANEL LTDA;;Paranaguá;PR
AGENCIA MARITIMA IMBITUBA LTDA;;Imbituba;SC
AGENCIA MARITIMA LTDA;;Natal;RN
AGENCIA MARITIMA MAGNUS LTDA;;Vitória;ES
AGENCIA MARITIMA MAGNUS LTDA;;Rio de Janeiro;RJ
AGENCIA MARITIMA NAABSA LTDA;;Santos;SP
AGENCIA MARITIMA NAABSA LTDA;;Vitória;ES
AGENCIA MARITIMA NAABSA LTDA;;Barcarena;PA
AGENCIA MARITIMA NAABSA LTDA;;Paranaguá;PR
AGENCIA MARITIMA NAABSA LTDA;;São Luís;MA
AGENCIA MARITIMA NAABSA LTDA;;Salvador;BA
AGENCIA MARITIMA NAABSA LTDA;;Rio de Janeiro;RJ
AGENCIA MARITIMA NAABSA RIO GRANDE LTDA;;Rio Grande;RS
AGENCIA MARITIMA OFFSHORE CONTINENTAL LTDA;;Macaé;RJ
AGENCIA MARITIMA OSNY EIRELI;;Balneário Camboriú;SC
AGENCIA MARITIMA PLURICOMERCIAL LTDA;;Natal;RN
AGENCIA MARITIMA PLURICOMERCIAL LTDA;;Areia Branca;RN
AGENCIA MARITIMA POSIDONIA LTDA.;;São Paulo;SP
AGENCIA MARITIMA SANVICTOR LTDA;;Maceió;AL
AGENCIA MARITIMA SCANSCOT LTDA;;Santos;SP
AGENCIA MARITIMA SCANSCOT LTDA;;Rio de Janeiro;RJ
AGENCIA MARITIMA TRANSATLANTICA LTDA;;Paranaguá;PR
AGENCIA MARITIMA TRANSCAR LTDA;;Paranaguá;PR
AGENCIA MARITIMA UNIVERSAL LTDA;;Vila Velha;ES
AGENCIA MARTINS REPRESENTACOES MARITIMAS LTDA;;Santana;AP
AGENCIA MARTINS REPRESENTACOES MARITIMAS LTDA;;Belém;PA
AGENCIA PARAIBANA DE DESPACHOS MARITIMOS LTDA;;Cabedelo;PB
AGENCIA SALES LTDA;;Macapá;AP
AGENCIA SUL AMERICANA DE SERVICOS E REPRESENTACOES LTDA;;Cachoeirinha;RS
AGENCIAMENTO DE TRANSPORTES SANTO EXPEDITO LTDA;;Rio de Janeiro;RJ
AGENCIAMENTO MARITIMO DF LTDA;;Rio Grande;RS
AGENCIAMENTO MARITIMO DF LTDA;;Porto Alegre;RS
AGENCIAMENTO MARITIMO DF LTDA;;São Francisco do Sul;SC
AGENT SERVICES AUXILIARES A NAVEGACAO LTDA;;Paranaguá;PR
AGENTES DE CARGAS ILHA DO MEL LTDA;;Paranaguá;PR
AGENTS' HOUSE AGENCIAMENTO E ASSESSORIA INTERNACIONAL LTDA;;Belo Horizonte;MG
AGENTS' HOUSE DESPACHOS E AGENCIAMENTO LTDA;;Belo Horizonte;MG
AGGIX TECNOLOGIA E GESTAO EM COMERCIO EXTERIOR LTDA;;Santos;SP
AGHIS INTERNATIONAL LTDA;;Santos;SP
AGILE SHEKINAH GLOBAL LOGISTICS LTDA;;Curitiba;PR
AGILESLOG ASSESSORIA EM COMERCIO EXTERIOR LTDA;;Santos;SP
AGILITY AGENCIAMENTOS E DESPACHOS LTDA;;São Francisco do Sul;SC
AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;;São Paulo;SP
AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;;Rio de Janeiro;RJ
AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;;Santos;SP
AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;;Manaus;AM
AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;;Curitiba;PR
AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;;Salvador;BA
AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;;Recife;PE
AGILITY DO BRASIL LOGISTICA INTERNACIONAL S.A.;;Vitória;ES
AGIMEX MARITIMA LTDA;;São Francisco do Sul;SC
AGL GLOBAL FORWARDING LOGISTICA LTDA;;Santos;SP
AGL TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
AGM OPERADORA PORTUARIA LTDA;;Porto Alegre;RS
AGN SERVICOS MARITIMOS, AGENCIAMENTO E LOGISTICA LTDA.;;Arraial do Cabo;RJ
AGRI PORT SERVICES BRASIL LTDA;;Santos;SP
AGRI PORT SERVICES BRASIL LTDA;;Paranaguá;PR
AGRIEX AGENCIAMENTOS, AFRETAMENTOS E APOIO MARITIMO LTDA.;;Rio de Janeiro;RJ
AGROPECUARIA SANTO AFONSO LIMITADA;;Pauini;AM
AGS FRETES MARITIMOS LTDA;;Fernando de Noronha;PE
AGS MARINE SERVICES LTDA;;Rio de Janeiro;RJ
AGS TRANSPORTE INTERNACIONAL E LOGISTICA LTDA;;Santos;SP
AGUNSA SERVICOS MARITIMOS LTDA;;São Paulo;SP
AGUNSA SERVICOS MARITIMOS LTDA;;Santos;SP
AGUNSA SERVICOS MARITIMOS LTDA;;Paranaguá;PR
AIB LOGISTICA DE CARGA PROJETO LTDA;;São Paulo;SP
AIKHO AGENCIA MARITIMA LTDA;;Belém;PA
AIL - ACESSOS INTERNACIONAIS LOGISTICA LTDA;;São Leopoldo;RS
AIL - ACESSOS INTERNACIONAIS LOGISTICA LTDA;;Brusque;SC
AIR SEA LOGISTIC LTDA;;Rio de Janeiro;RJ
AIR SEA UNIVERSAL LOGISTICA E SERVICOS LTDA;;São Paulo;SP
AIRMARE LOGISTICA INTEGRADA LTDA;;Santos;SP
AIRPHARM LOGISTICA LTDA.;;São Paulo;SP
AIRPHOENIX SERVICOS INTERNACIONAIS LTDA;;Belo Horizonte;MG
AIRSEALOG LOGISTICA INTEGRADA LTDA;;Rio de Janeiro;RJ
AIRWAYS DESPACHOS ADUANEIROS LTDA;;Rio de Janeiro;RJ
AKHAVA LOGISTICA & COMEX LTDA;;São Paulo;SP
AL & LC SERVICOS ADUANEIROS E REPRESENTACOES LTDA;;Vitória;ES
ALAILSO N DE SOUZA SILVA 67375987220;;Santarém;PA
ALBAR LOGISTICS LTDA;;Rio de Janeiro;RJ
ALBERTO PERDIGAO DRAPIER;;Fortaleza;CE
ALC LOGISTICS LTDA;;Guarulhos;SP
ALCA AMERICAN WAY LOGISTICA INTERNACIONAL LTDA;;São Paulo;SP
ALCANCE ASSESSORIA EM COMERCIO EXTERIOR LTDA;;Recife;PE
ALCAR MULTIMODAL LTDA;;Santos;SP
ALCIDES RAIMUNDO DOS SANTOS LOPES 47233680272;;Santarém;PA
ALEM-MAR TRANSPORTES E NAVEGACAO LTDA;;Fernando de Noronha;PE
ALEPH LOG TRANSPORTE MULTIMODAL LTDA;;Barueri;SP
ALEXANDRE HARTMANN 43121390082;;Porto Alegre;RS
ALFA CARGO TRANSPORTES INTERNACIONAIS LTDA.;;São Paulo;SP
ALFA CONSULTORIA LOGISTICA IMPORTADORA E EXPORTADORA LTDA;;São Paulo;SP
ALFAMARES TRANSPORTES APOIO MARITIMO E PORTUARIO LTDA;;Natal;RN
ALFAR COMERCIO, LOGISTICA E MANUTENCOES LTDA;;Guapimirim;RJ
ALFAR COMERCIO, LOGISTICA E MANUTENCOES LTDA;;Guapimirim;RJ
ALIADOS COMERCIO EXTERIOR E LOGISTICA LTDA;;Itajaí;SC
ALIAMAR SUL AGENCIA MARITIMA E LOGISTICA LTDA;;São Francisco do Sul;SC
ALIAMAR SUL AGENCIA MARITIMA E LOGISTICA LTDA;;Itajaí;SC
ALIAMAR SUL AGENCIA MARITIMA E LOGISTICA LTDA;;Paranaguá;PR
ALIAMAR SUL AGENCIA MARITIMA E LOGISTICA LTDA;;Rio Grande;RS
ALIAMAR SUL AGENCIA MARITIMA E LOGISTICA LTDA;;Imbituba;SC
ALIAMAR SUL AGENCIA MARITIMA LTDA;;Itajaí;SC
ALIANCA LOGISTICA E ASSESSORIA COMERCIAL LTDA;;Vila Velha;ES
ALIANCA NAVEGACAO E LOGISTICA LTDA;;Rio Grande;RS
ALIANCA NAVEGACAO E LOGISTICA LTDA;;Santos;SP
ALIANCA NAVEGACAO E LOGISTICA LTDA;;Itajaí;SC
ALIANCA NAVEGACAO E LOGISTICA LTDA;;Rio de Janeiro;RJ
ALIANCA NAVEGACAO E LOGISTICA LTDA;;São Francisco do Sul;SC
ALIANCA NAVEGACAO E LOGISTICA LTDA;;Rio de Janeiro;RJ
ALIANCA NAVEGACAO E LOGISTICA LTDA;;Recife;PE
