Razão Social;Situação Cadastral;Cidade;Estado
LITORAL SOLUCOES EM COMERCIO EXTERIOR LTDA;;Paranaguá;PR
LITRANS LOGISTICA INTERNACIONAL DE TRANSPORTES LTDA;;Osasco;SP
LITTORA MARIS MARITIME E PRESTACAO DE SERVICOS LTDA;;Fortaleza;CE
LIZARD INTERNATIONAL AGENCIAMENTO DE CARGA LTDA;;Mogi das Cruzes;SP
LKS LOGISTICA INTERNACIONAL LTDA;;Santos;SP
LMK SHIPPING SERVICOS MARITIMOS LTDA;;Vitória;ES
LOALUB COMERCIO E DISTRIBUIDORA DE LUBRIFICANTES LTDA;;Duque de Caxias;RJ
LOBMAIER TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
LOCASANTOS OPERADORES PORTUARIOS LTDA.;;Santos;SP
LOCASERVICE SERVICOS MARITIMOS LTDA;;Paranaguá;PR
LOCKSLEY LOGISTICA LTDA;;São Paulo;SP
LOG - SDA - SOLUCOES EM DESPACHO ADUANEIRO LTDA;;São Francisco do Sul;SC
LOG - SDA - SOLUCOES EM DESPACHO ADUANEIRO LTDA;;Itajaí;SC
LOG FREIGHT MULTIMODAL LTDA;;Rio de Janeiro;RJ
LOG I CARGO LOGISTICA INTERNACIONAL DE CARGAS LTDA;;Fortaleza;CE
LOG IN NAVEGACAO LTDA.;;Rio de Janeiro;RJ
LOG ONE COMERCIO EXTERIOR E REPRESENTACOES LTDA;;Paranaguá;PR
LOG PARANA LOGISTICA LTDA;;Curitiba;PR
LOG RIVER AGENCIAMENTO MARITIMO E OPERACAO PORTUARIA LTDA;;Barcarena;PA
LOG SOLUTION SERVICOS MARITIMOS LTDA;;Rio de Janeiro;RJ
LOG SPECIALIZED ASSISTANCY LTDA;;Rio de Janeiro;RJ
LOG STAR NAVEGACAO S.A. FALIDO;;Rio de Janeiro;RJ
LOG&PORT-CONSULTORIA E LOGISTICA LTDA;;Vitória;ES
LOG-IN - LOGISTICA INTERMODAL S/A;;Rio de Janeiro;RJ
LOG-IN - LOGISTICA INTERMODAL S/A;;Salvador;BA
LOG-IN - LOGISTICA INTERMODAL S/A;;Fortaleza;CE
LOG-IN - LOGISTICA INTERMODAL S/A;;Recife;PE
LOG-IN - LOGISTICA INTERMODAL S/A;;Rio Grande;RS
LOG-IN - LOGISTICA INTERMODAL S/A;;Manaus;AM
LOG-IN - LOGISTICA INTERMODAL S/A;;São Francisco do Sul;SC
LOG-IN - LOGISTICA INTERMODAL S/A;;Barcarena;PA
LOG-IN - LOGISTICA INTERMODAL S/A;;Oriximiná;PA
LOG-IN - LOGISTICA INTERMODAL S/A;;Barcarena;PA
LOG-IN MARITIMA CABOTAGEM LTDA.;;Rio de Janeiro;RJ
LOG-ONE SERVICOS E ASSESSORIA EMPRESARIAL LTDA;;Natal;RN
LOG2U LOGISTICA INTERNACIONAL LTDA;;Vila Velha;ES
LOGAIR AND SEA TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
LOGAMM LOGISTICA E AGENCIAMENTO DE CARGAS LTDA;;Cabo de Santo Agostinho;PE
LOGER CARGO TRANSPORTES INTERNATIONAL LTDA;;São Paulo;SP
LOGEXPERIENCE LOGISTICA LTDA;;São Paulo;SP
LOGICARGO LOGISTICA INTERNANCIONAL LTDA;;Rio de Janeiro;RJ
LOGIMAC AGENCIAMENTO DE CARGAS E DESEMBARACOS LTDA.;;Santos;SP
LOGIMASTERS TRANSPORTES NACIONAIS E INTERNACIONAIS LTDA.;;Indaiatuba;SP
LOGIMASTERS TRANSPORTES NACIONAIS E INTERNACIONAIS LTDA.;;Manaus;AM
LOGIMPEX-LOGISTICA IMPORTACAO E EXPORTACAO LTDA.;;Santo André;SP
LOGIN LOGISTICA & ADUANA LTDA;;São Paulo;SP
LOGIN LOGISTICA & ADUANA LTDA;;Santos;SP
LOGIN TRANSPORTES NACIONAIS E INTERNACIONAIS LTDA;;Itajaí;SC
LOGIPIA DO BRASIL COMERCIO, IMPORTACAO E EXPORTACAO LTDA;;São Paulo;SP
LOGISBER FORWARDING DO BRASIL LOGISTICA LTDA;;São Paulo;SP
LOGISTIC ASIA SERVICOS DE AGENCIAMENTO MARITIMO LTDA;;São Paulo;SP
LOGISTIC CO. INTERNACIONAL LTDA;;Curitiba;PR
LOGISTIC NETWORK BRASIL SERVICOS DE LOGISTICA LTDA.;;Santos;SP
LOGISTIC NETWORK TECHNOLOGY COMERCIO, IMPORTACAO E EXPORTACAO S/A - EM RECUPERACAO JUDICIAL;;Vitória;ES
LOGISTIC NETWORK TECHNOLOGY COMERCIO, IMPORTACAO E EXPORTACAO S/A - EM RECUPERACAO JUDICIAL;;Barueri;SP
LOGISTIC NETWORK TECHNOLOGY COMERCIO, IMPORTACAO E EXPORTACAO S/A - EM RECUPERACAO JUDICIAL;;São Paulo;SP
LOGISTIC RIG AGENCIAMENTO DE CARGAS LTDA;;Rio Grande;RS
LOGISTICA ADUANEIRA LTDA;;Belém;PA
LOGISTICA E TRANSPORTES HANSEATIC LTDA.;;Cotia;SP
LOGISTICS BRAZIL TRANSPORTES NACIONAIS E INTERNACIONAIS LTDA;;São Paulo;SP
LOGISTICS NEW TRANSPORTES E LOGISTICA INTERNACIONAL LTDA.;;São Caetano do Sul;SP
LOGISTICS PLUS LTDA.;;São Paulo;SP
LOGISTICX LTDA;;Curitiba;PR
LOGISTICX LTDA;;São Paulo;SP
LOGITEC LOGISTICAS DE IMPORTACAO E EXPORTACAO LTDA;;Rio de Janeiro;RJ
LOGITRACK LOGISTICA E TRANSPORTES LTDA;;Santos;SP
LOGITRADE REPRESENTACAO, TRANSPORTES E COMERCIO INTERNACIONAL LTDA;;Santos;SP
LOGITRANS SHIPPING LTDA;;São Paulo;SP
LOGLINE SOLUCOES LOGISTICAS INTEGRADAS LTDA;;Santos;SP
LOGMEX LOGISTICA INTEGRADA S/S LTDA;;Santos;SP
LOGNAV AGENCIA MARITIMA LTDA;;Belém;PA
LOGOSHIP-LOGISTICA,TRANSPORTE E AGENCIAMENTO LTDA;;Salvador;BA
LOGSY BRASIL LOGISTICA LTDA;;Barueri;SP
LOGTRADE CONSULTORIA EM COMERCIO EXTERIOR LTDA;;Simões Filho;BA
LOGTRANS INTERNATIONAL FREIGHT SYSTEMS - TRANSPORTES - LTDA.;;São Paulo;SP
LOGWAY CARGO INTERNATIONAL LTDA;;Piracicaba;SP
LOGWIN AIR + OCEAN BRAZIL LOGISTICA E DESPACHO LTDA.;;Santos;SP
LOGWIN AIR + OCEAN BRAZIL LOGISTICA E DESPACHO LTDA.;;São Paulo;SP
LOGX AGENCIAMENTO DE CARGAS LTDA;;Itajaí;SC
LOLIS TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
LONGITUDE GLOBAL LOGISTICA LTDA;;São Paulo;SP
LOPES & MELLO DESEMBARACOS MARITIMOS LTDA.;;Rio Grande;RS
LOPES ADAO ASSESSORIA ADUANEIRA LTDA;;Itajaí;SC
LORD COMERCIO EXTERIOR E AGENCIAMENTO DE CARGAS LTDA;;Santos;SP
LOTHUS CARGO TRANSPORTES INTERNACIONAIS LTDA;;Campinas;SP
LOTTE GLOBAL LOGISTICS (BRASIL) LTDA.;;São Paulo;SP
LOTUS AGENCIA MARITIMA E OPERADORA PORTUARIA LTDA;;Niterói;RJ
LOTUS AGENCIA MARITIMA E OPERADORA PORTUARIA LTDA;;Vila Velha;ES
LOTUS AGENCIA MARITIMA E OPERADORA PORTUARIA LTDA;;Serra;ES
LOUIS DREYFUS COMPANY BRASIL S.A.;;São Paulo;SP
LOUIS DREYFUS COMPANY BRASIL S.A.;;Belém;PA
LOXUS AGEMAR LOGISTICA PORTUARIA LTDA;;Cabo de Santo Agostinho;PE
LOZENGE INTL COMERCIO, IMPORTACAO E EXPORTACAO LTDA;;Curitiba;PR
LOZENGE LOG LOGISTICA E PARTICIPACOES LTDA;;Curitiba;PR
LPC ASSESSORIA ADUANEIRA E LOGISTICA INTERNACIONAL LTDA;;São Paulo;SP
LPR BRASIL REPRESENTACAO, COMERCIO E SERVICOS LTDA.;;Blumenau;SC
LPR LOG LTDA;;Blumenau;SC
LTCARGO TRANSPORTES E ARMAZENS GERAIS LTDA;;Itajaí;SC
LUA EMPREENDIMENTOS IMOBILIARIOS LTDA;;Vitória;ES
LUCAS APARECIDO DE FARIA;;Mogi das Cruzes;SP
LUCIA MARIA DAS NEVES PINON CONDE DO ITAIGARA;;Salvador;BA
LUCIANA DOMINONI DORIA;;São Francisco do Sul;SC
LUFTWEGE DESPACHOS ADUANEIROS LTDA;;Santos;SP
LUIZ AUGUSTO CUGNIER JUNIOR;;Itajaí;SC
LUIZ GASTAO FONSECA CORREA JUNIOR;;Paranaguá;PR
LUIZ RICARDO OLIVEIRA DE ALMEIDA-AGENCIAMENTO MARITIMO;;Paranaguá;PR
LUIZ S DOS S JUNIOR AGENCIAMENTO MARITIMO;;Barcarena;PA
LUNA - AGENCIAMENTO DE CARGAS LTDA;;Rio de Janeiro;RJ
LUNA LOGISTICS BRASIL LTDA;;São Paulo;SP
LUNA SANTOS SERVICOS LOGISTICOS LTDA;;Santos;SP
LUNIMAR DO BRASIL AGENCIAMENTO DE CARGAS E TRANSPORTES NACIONAIS E INTERNACIONAIS LTDA;;Santos;SP
LUNIMAR DO BRASIL AGENCIAMENTO DE CARGAS E TRANSPORTES NACIONAIS E INTERNACIONAIS LTDA;;São Paulo;SP
LUNNA COMERCIO DE ELETRO ELETRONICOS LTDA;;Garça;SP
LUSA LOGISTICA INTERNACIONAL E TRANSPORTES MULTIMODAL LTDA;;Itajaí;SC
LUXOR LOGISTICS DO BRASIL AGENCIAMENTO DE CARGAS LTDA.;;Guarulhos;SP
LV SHIPPING DO BRAZIL CONSULTORIA EM LOGISTICA LTDA.;;Rio de Janeiro;RJ
LWSEA CONSULTORIA & SERVICOS MARITIMOS LTDA;;São Vicente;SP
LX PANTOS LOGISTICA DO BRASIL LTDA;;Barueri;SP
LYRA NAVEGACAO MARITIMA LTDA;;Rio de Janeiro;RJ
LYRAMAR COMISSARIA DE DESPACHOS ADUANEIRA LTDA;;São Bernardo do Campo;SP
M & K AGENCIAMENTO DE CARGAS LTDA;;São Bernardo do Campo;SP
M & K ASSESSORIA, EXPORTADORA E IMPORTADORA LTDA;;São Bernardo do Campo;SP
M & S COMEX LTDA;;Itajaí;SC
M B AGENCIA MARITIMA LTDA;;Itajaí;SC
M B AGENCIA MARITIMA LTDA;;Rio Grande;RS
M B AGENCIA MARITIMA LTDA;;Paranaguá;PR
M B AGENCIA MARITIMA LTDA;;São Francisco do Sul;SC
M B AGENCIA MARITIMA LTDA;;Paranaguá;PR
M C D CARVALHO & CIA LTDA;;Parintins;AM
M C S COSTA;;Belém;PA
M F CORREIA & CORREIA LTDA;;Santos;SP
M F INTERNATIONAL CARGO LTDA;;Guarulhos;SP
M L CARVALHO LTDA;;Campinas;SP
M M DA COSTA AMARAL AGENCIAMENTO MARITIMO LTDA;;Belém;PA
M M TRANSPORTADORA LTDA;;Itacoatiara;AM
M MONTEIRO NAVEGACAO LTDA;;Manaus;AM
M OCEAN SHIPPING TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
M P L I LTDA;;Campinas;SP
M S L DO BRASIL AGENCIAMENTOS E TRANSPORTES LTDA.;;São Paulo;SP
M S L DO BRASIL AGENCIAMENTOS E TRANSPORTES LTDA.;;Rio de Janeiro;RJ
M T F CONSULTORIA E ASSESSORIA EM COMERCIO EXTERIOR LTDA;;Santos;SP
M T F CONSULTORIA E ASSESSORIA EM COMERCIO EXTERIOR LTDA;;Santos;SP
M W X LOGISTICA INTERNACIONAL E AGENCIAMENTO LTDA;;Itajaí;SC
M&C SERVICOS DE AGENCIAMENTO E LOGISTICA LTDA;;Santa Cruz do Sul;RS
M&T BROKERS COMISSARIA DE DESPACHOS LTDA;;São Paulo;SP
M. C. C. BRANDAO;;Macapá;AP
M. GUTERRES PACHECO;;São Luís;MA
M. MUNIZ LOGISTICA LTDA;;Rio de Janeiro;RJ
M. MUNIZ LOGISTICA LTDA;;Santos;SP
M. SILVA LOGISTICA & SERVICOS ADUANEIROS LTDA;;Rio de Janeiro;RJ
M. T. F. TRANSPORTES E TERMINAIS LTDA;;Cubatão;SP
M.C. CAMARGO ASSESSORIA EM COMERCIO EXTERIOR LTDA.;;Campinas;SP
M.G.M.-ASSESSORIA ADUANEIRA LTDA;;Santos;SP
M.N.S REPRESENTACAO DE PRODUTOS ODONTOLOGICOS LTDA;;Manaus;AM
M.T.F. GLOBAL LOGISTICS LTDA;;Curitiba;PR
M.T.N. EXPRESS LTDA;;Santos;SP
M2TRADE IMPORTACAO EXPORTACAO E LOGISTICA LTDA;;Rio de Janeiro;RJ
M3 LOGISTICS SOLUTIONS LTDA;;Rio Claro;SP
MAAR NAVEGACAO E TERMINAIS LTDA;;Belém;PA
MAC CARGO DO BRASIL LTDA;;São Paulo;SP
MAC CARGO DO BRASIL LTDA;;Salvador;BA
MAC CONSULTORIA E LOGISTICA LTDA;;São Paulo;SP
MACAE NAVEGACAO COMERCIO E SERVICOS MARITIMOS LTDA;;Macaé;RJ
MACARGO BRASIL LOGISTICA LTDA;;Rio de Janeiro;RJ
MACCOPI INCORPORACOES LTDA;;Curitiba;PR
MACELOG MACEIO LOGISTICA & SERVICOS PORTUARIOS LTDA;;Maceió;AL
MACENO DESPACHOS ADUANEIROS LTDA -;;Paranaguá;PR
MACIMPORT CONSULTORIA, ASSESSORIA ADUANEIRA E AGENCIAMENTO DE CARGAS LTDA;;São Paulo;SP
MACROFERTIL INDUSTRIA E COMERCIO DE FERTILIZANTES S.A.;;Paranaguá;PR
MACROLINK INTERNATIONAL LTDA;;Rio de Janeiro;RJ
MADESA MADEIREIRA SANTAREM FALIDO LTDA;;Santarém;PA
MAERSK BRASIL BRASMAR LTDA;;Santos;SP
MAERSK BRASIL BRASMAR LTDA;;São Paulo;SP
MAERSK BRASIL BRASMAR LTDA;;Paranaguá;PR
MAERSK BRASIL BRASMAR LTDA;;Itajaí;SC
MAERSK BRASIL BRASMAR LTDA;;Rio Grande;RS
MAERSK BRASIL BRASMAR LTDA;;São Francisco do Sul;SC
MAERSK BRASIL BRASMAR LTDA;;Rio de Janeiro;RJ
MAERSK BRASIL BRASMAR LTDA;;Vitória;ES
MAERSK BRASIL BRASMAR LTDA;;Salvador;BA
MAERSK BRASIL BRASMAR LTDA;;Fortaleza;CE
MAERSK BRASIL BRASMAR LTDA;;Itajaí;SC
MAERSK BRASIL BRASMAR LTDA;;Manaus;AM
MAERSK BRASIL BRASMAR LTDA;;Rio de Janeiro;RJ
MAERSK LOGISTICS & SERVICES BRASIL LTDA.;;Santos;SP
MAERSK LOGISTICS & SERVICES BRASIL LTDA.;;Fortaleza;CE
MAERSK LOGISTICS & SERVICES BRASIL LTDA.;;Manaus;AM
MAERSK LOGISTICS & SERVICES BRASIL LTDA.;;Itajaí;SC
MAERSK LOGISTICS & SERVICES BRASIL LTDA.;;Novo Hamburgo;RS
MAERSK SUPPLY AMERICA LATINA SERVICOS MARITIMOS LTDA;;Rio de Janeiro;RJ
MAESTRO LOGISTICS & COMEX INTERMEDIACAO DE NEGOCIOS LTDA;;Mogi das Cruzes;SP
MAFA DESPACHOS ADUANEIROS LTDA;;Itajaí;SC
MAFO TRANSPORTES MULTIMODAL INDUSTRIA E COMERCIO LTDA;;Santarém;PA
MAFRA ASSESSORIA EM COMERCIO EXTERIOR LTDA;;São Paulo;SP
MAGA LOGISTICA LTDA;;Rio de Janeiro;RJ
MAGA MULTIMODAL LTDA.;;Rio de Janeiro;RJ
MAGALHAES LOGISTICA LTDA;;Recife;PE
MAGMA MULTIMODAL AGENCIAMENTOS MARITIMOS E AEREOS LTDA;;São Paulo;SP
MAGNO LOGISTICA DO BRASIL LTDA;;Campinas;SP
MAGNUM LOGISTICA LTDA;;Rio de Janeiro;RJ
MAIA LOGISTICA EIRELI;;Santos;SP
MAJONAV NAVEGACAO LTDA;;Belém;PA
MAJONAV TRANSPORTE FLUVIAL DA BACIA AMAZONICA LTDA;;Belém;PA
MAK - ASSESSORIA EM TRANSPORTES INTERNACIONAIS LTDA.;;Santos;SP
MALU & MAHMUD CARGAS INTERNACIONAIS LTDA;;São Paulo;SP
MANAH DO BRASIL ADMINISTRACAO DE NEGOCIOS E TRANSPORTES LTDA;;São Paulo;SP
MANAUS LOGISTICA DO TRANSPORTE DE CARGAS LTDA;;Manaus;AM
MANUPORT ASSESSORIA ADUANEIRA E LOGISTICA LTDA.;;Santos;SP
MANUPORT LIQUIDS DO BRASIL LTDA;;São Paulo;SP
MANUPORT LOGISTICS DO BRASIL LTDA.;;São Paulo;SP
MAP - SERVICOS DE ESCRITORIO E APOIO ADMINISTRATIVO LTDA;;Curitiba;PR
MAP LOGISTICS AGENCIAMENTO DE CARGAS LTDA;;São Paulo;SP
MAPA COMISSARIA DE DESPACHOS ADUANEIROS LTDA;;São Luís;MA
MAPEX AGENCIAMENTOS E NEGOCIOS MARITIMOS LTDA;;Vitória;ES
MAQUINAS OCRIM LTDA;;São Paulo;SP
MAQUINE - AGENTES MARITIMOS E FLUVIAIS DE TRANSPORTES E NAVEGACAO LTDA;;Tabatinga;AM
MAR AZUL COMERCIO DE PESCADOS LTDA;;Laguna;SC
MAR AZUL DESPACHO MARITIMO LTDA;;Navegantes;SC
MAR DA LAGUNA IND E COM DE PESCADOS LTDA;;Laguna;SC
MAR LINES TRANSPORTES INTERNACIONAIS LTDA;;Santos;SP
MAR&AR MARITIMO E AEREO TRANSPORTES INTERNACIONAIS LTDA;;Vitória;ES
MARANIL TRANSPORTES COMERCIO E SERV LIMP MARITIMA LTDA;;São Sebastião;SP
MARANOL SERVICOS ADUANEIROS E TRANSPORTES INTERNACIONAIS LTDA.;;Santos;SP
MARANOL SERVICOS ADUANEIROS E TRANSPORTES INTERNACIONAIS LTDA.;;São Paulo;SP
MARATHON LOGISTICA INTERNACIONAL LTDA;;Rio de Janeiro;RJ
MARBRAS NAVEGACAO LTDA;;Rio de Janeiro;RJ
MARCA LOGISTICA TRANSPORTE LTDA;;São Paulo;SP
MARCEL MARMORE COMERCIO E EXPORTACAO LTDA;;Cachoeiro de Itapemirim;ES
MARCELO DAS VIRGENS XAVIER;;Uruguaiana;RS
MARCELOS SERVICO DE APOIO PORTUARIO LTDA;;Itajaí;SC
MARCIA CRISTINA BRIANEZ LTDA;;São Paulo;SP
MARCIA DOMINGOS DOS SANTOS LEANDRO;;São Sebastião;SP
MARCIO S AZEVEDO;;Rio Grande;RS
MARCO ANTONIO FERNANDES DOS SANTOS LTDA;;Saquarema;RJ
MARCO ANTONIO L. DO NASCIMENTO;;Rio Grande;RS
MARCO POLO MULTIMODAL LTDA;;Criciúma;SC
MARCON SERVICOS DE DESPACHOS EM GERAL LTDA;;Paranaguá;PR
MARCON SERVICOS DE DESPACHOS EM GERAL LTDA;;Itajaí;SC
MARCON SERVICOS DE DESPACHOS EM GERAL LTDA;;São Francisco do Sul;SC
MARCONE VIDAL SERVICOS DE LOGISTICA LTDA;;Itajaí;SC
MARCOS ARAUJO SERVICOS DE TRANSPORTES E AGENCIAMENTO DE CARGAS;;São Roque;SP
MARCOS DESPACHOS ADUANEIROS LTDA;;Manaus;AM
MARCOS JORGE DOS SANTOS CAMPOS;;Manaus;AM
MARCOS VINICIUS DA ROSA OLIVEIRA;;Pelotas;RS
MARCUS VINICIUS DE MELO RODRIGUES;;Cabedelo;PB
MAREAR COMEX - CONSULTORIA E GESTAO LTDA;;Salvador;BA
MARECO SOUTH AMERICA AGENCIAMENTO DE CARGAS E COMERCIO DE EMBALAGENS LTDA.;;São Paulo;SP
MARELO INTERMEDIACOES E AGENCIAMENTO MARITIMO E DE CARGAS LTDA;;Mogi das Cruzes;SP
MARES COMERCIO E LOGISTICA INTERNACIONAL LTDA;;Itajaí;SC
MARES DO SUL IMPORTACAO E EXPORTACAO DE PRODUTOS MANUFATURADOS LTDA;;Itajaí;SC
MARGRAIN CORPORATION ASSESSORIA LTDA;;São Vicente;SP
MARIA CECILIA ANJONI DE OLIVEIRA SERVICOS ADMINISTRATIVOS;;Santos;SP
MARIA GORETI COSTA;;Santos;SP
MARIMEX DESPACHOS TRANSPORTES E SERVICOS LTDA;;Santos;SP
MARIMPORT LOGISTICA BRASIL LTDA;;São Paulo;SP
MARINAV AGENCIA MARITIMA LTDA;;Salvador;BA
MARINE CARGO SERVICOS E TRANSPORTES LTDA;;Santos;SP
MARINE-AIR DESPACHOS ADUANEIROS LTDA;;Salvador;BA
MARINES COMERCIAL DISTRIBUIDORA E SERVICOS LTDA;;Fortaleza;CE
MARINHO TRANSPORTES HIDROVIARIOS DA AMAZONIA LTDA;;Santarém;PA
MARIO HENRIQUE SILVA LTDA;;Paudalho;PE
MARIO JOSE SOUZA LUCAS;;Rio Grande;RS
MARITIMA DE AGENCIAMENTOS E REPRESENTACOES LTDA;;Recife;PE
MARITIMA DE AGENCIAMENTOS E REPRESENTACOES LTDA;;Simões Filho;BA
MARITIMA DE AGENCIAMENTOS E REPRESENTACOES LTDA;;Ilhéus;BA
MARITIME AND AIR TRASPORTS LTDA;;Salvador;BA
MARITIME LOGISTICS DO BRASIL LTDA;;São Paulo;SP
MARITIME SHIPPING AGENCIA MARITIMA BRASIL LTDA;;Corumbá;MS
MARITIME WORLD LOGISTICA E COMERCIO EXTERIOR LTDA;;Santos;SP
MARITTIMA SERVICOS LOGISTICOS LTDA;;Curitiba;PR
MARK INTERNACIONAL LOGISTICS LTDA;;São José dos Campos;SP
MARLIN MARITIMA LTDA;;Vitória;ES
MARNOSA NAVEGACAO LTDA;;Fortaleza;CE
MAROIL APOIO MARITIMO LTDA;;Rio de Janeiro;RJ
MAROIL APOIO MARITIMO LTDA;;Paranaguá;PR
MAROIL APOIO MARITIMO LTDA;;São Francisco do Sul;SC
MAROIL APOIO MARITIMO LTDA;;São Sebastião;SP
MAROIL APOIO MARITIMO LTDA;;Itajaí;SC
MARPORT - ASSESSORIA ADUANEIRA LTDA;;Paranaguá;PR
MARSHIP AGENCIAMENTOS LTDA;;Rio de Janeiro;RJ
MARSHIP AGENCIES MARITIMO EIRELI;;Vitória;ES
MARSHIP AGENCIES MARITIMO EIRELI;;Rio de Janeiro;RJ
MARSHIP VITORIA, AGENCIA MARITIMA LTDA.;;Vitória;ES
MARSHIP-SERVICOS DE LOGISTICA E AGENCIAMENTOS MARITIMOS LTDA;;Fortaleza;CE
MART LOGISTICA E TRANSPORTE INTERNACIONAL LTDA;;Diadema;SP
MARTE ADUANEIRA LTDA;;Santos;SP
MARTIN BENCHER DO BRASIL LOGISTICA LTDA.;;São Paulo;SP
MARTINI MET TRANSPORTES NACIONAL E INTERNACIONAL LTDA;;Rio Grande;RS
MARTINS AZEVEDO SERVICOS ADUANEIROS LTDA;;Lauro de Freitas;BA
MARTINS DESPACHOS E ASSESSORIA EM LOGISTICA LTDA;;Poá;SP
MARTINS E BORBA LTDA;;Itajaí;SC
MARTINS FERNANDES & LIMA REPRESENTACAO COMERCIAL LTDA;;Santo André;SP
MARTINS MEDEIROS SERVICOS ADUANEIROS E LOGISTICA LTDA.;;Fortaleza;CE
MARTRADE AGENCIA MARITIMA LTDA;;Manaus;AM
MARTRANS TRANSPORTES DE CARGAS LTDA;;Salvador;BA
MARVAN LOGISTICA INTERNACIONAL LTDA;;Rio de Janeiro;RJ
MARVISTA AGENCIA MARITIMA LTDA;;Recife;PE
MASSA FALIDA DE CRISTAL CARGAS E NEGOCIOS INTERNACIONAIS LTDA;;São Bernardo do Campo;SP
MASSA FALIDA DE PRIDE WORLD TRANSPORTES LTDA;;Jundiaí;SP
MASTER CARGO COMERCIO EXTERIOR AGENCIAMENTOS E SERVICOS LTDA;;Santos;SP
MASTER CARGO PERNAMBUCO LTDA;;Recife;PE
MASTER FREIGHT TRANSPORTES INTERNACIONAIS LTDA;;São Paulo;SP
MASTER LORD JEOVA SERVICOS MARITIMOS LTDA;;Rio de Janeiro;RJ
MASTER OPERACOES PORTUARIAS LTDA;;São Francisco do Sul;SC
MASTER OPERACOES PORTUARIAS LTDA;;Santarém;PA
MASTER POLO ADUANA E LOGISTICA EIRELI;;Porto Alegre;RS
MASTER SERVICOS ADUANEIROS E COMERCIO EXTERIOR LTDA;;Curitiba;PR
MASTER SHIPPING LOGISTICA INTERNACIONAL LTDA;;Rio de Janeiro;RJ
MASTER SUL COMEX LTDA;;Curitiba;PR
MASTERLOG ASSESSORIA ADUANEIRA E TRANSPORTES DE CARGAS LTDA;;Salvador;BA
MATAPI TRANSPORTE MULTI MODAL LTDA;;Belém;PA
MATHEUS MOLLIK;;Recife;PE
MATRIX LOGISTICS SERVICES LIMITADA;;São Paulo;SP
MAURI & COSTA LOGISTICA LTDA;;Santos;SP
MAURO MARCELLO DESPACHOS ADUANEIROS LTDA;;Rio de Janeiro;RJ
MAX FREIGHT INTERNATIONAL FREIGHT FORWARDER DESPACHOS ADUANEIROS E TRANSPORTES LTDA;;São Paulo;SP
MAX LOGISTICS BRAZIL LTDA;;Santos;SP
MAXICARGO INTERNACIONAL PROMOCAO DE VENDAS LTDA;;Rio de Janeiro;RJ
MAXICARGO INTERNACIONAL PROMOCAO DE VENDAS LTDA;;São Paulo;SP
MAXICARGO MG PROMOCAO DE VENDAS LTDA;;Rio de Janeiro;RJ
MAXIMA SUL COMISSARIA DE DESPACHOS ADUANEIROS LTDA;;Novo Hamburgo;RS
MAXIMUM LOGISTIC SERVICES LTDA;;São Francisco do Sul;SC
MAXIMUNDI IMPORTACAO E EXPORTACAO LTDA;;Santos;SP
MAXIMUS SERVICOS MARITIMOS LTDA;;Vila Velha;ES
MAXTON LOGISTICA E TRANSPORTES LTDA;;Curitiba;PR
MB CARGAS INTERNACIONAIS E COMERCIO EXTERIOR LTDA;;Pouso Alegre;MG
MB DESPACHOS ADUANEIROS LTDA;;Rio Grande;RS
MB LOGISTICA E TRANSPORTE LTDA;;Santos;SP
MBD LOGISTICS AGENCIAMENTO DE CARGAS LTDA.;;Santos;SP
MBO CARGO TRANSPORTES INTERNACIONAIS LTDA;;Vitória;ES
MBR LOGISTICA E ASSESSORIA ADUANEIRA LTDA;;Paranaguá;PR
MBR LOGISTICS LTDA;;Itajaí;SC
MBS CARGO AGENCIAMENTO DE CARGAS LTDA;;Campinas;SP
MBS CARGO AGENCIAMENTO DE CARGAS LTDA;;Santos;SP
MC -TRANSPORTE LUCIGNANO LTDA;;Rio de Janeiro;RJ
MC LOG S.A. LOGISTICA E TRANSPORTE;;Marabá;PA
MC LOGISTICS LTDA;;Rio de Janeiro;RJ
MC NAUTICA EQUIPAMENTOS NAVAIS LTDA;;Santarém;PA
MC SERVICOS PORTUARIOS LTDA;;Santarém;PA
MCA LOGISTICA INTERNACIONAL LTDA;;Curitiba;PR
MCGD LOGISTICA SLU LTDA;;São Paulo;SP
MCK LOGISTICS BRASIL LTDA;;Itajaí;SC
MCLANE LOGISTICA INTERNACIONAL LTDA.;;Barueri;SP
MCLEAN CARGO DO BRASIL LTDA;;Rio de Janeiro;RJ
MCR LOGISTICA LTDA;;Recife;PE
MD LOGISTICA E DESPACHOS ADUANEIROS LTDA;;Vitória;ES
MDC LOGISTICS AGENCIAMENTO DE CARGAS INTERNACIONAIS LTDA;;Manaus;AM
MDL COMERCIO EXTERIOR LTDA;;Santos;SP
MDM SOLUCOES EM LOGISTICA INTEGRADA LTDA;;São José dos Pinhais;PR
MDX LOGISTICA INTERNACIONAL & SERVICOS ADMINISTRATIVOS LTDA;;São Paulo;SP
MECKEN GOLDEN LOGISTICS LTDA;;São Paulo;SP
MECKEN GOLDEN LOGISTICS LTDA;;São Paulo;SP
