feature,feature_origin,family,importance_mae_increase_h,importance_std_h,sample_size,model_family
precipitation_hours_prev_3d,original,CLIMATICA_HISTORICA,-0.003115426826442539,0.006004117993997293,2500,hgb
arrivals_max_prev_3d,new,FLUXO_PORTUARIO_HISTORICO,-0.003210056818723217,0.0050670822613165575,2500,hgb
opmix_carga_share_prev_3d,new,MIX_OPERACIONAL_RECENTE,-0.003351298550657115,0.003744105481652567,2500,hgb
opmix_fundeio_share_prev_3d,new,MIX_OPERACIONAL_RECENTE,-0.003537366669699319,0.002831451722033339,2500,hgb
vessel_wait_known_median,new,HISTORICO_DA_EMBARCACAO,-0.004033736448259144,0.003206619512327663,2500,hgb
op_fundeio,original,OPERACIONAL_DA_ESCALA,-0.004117138143148698,0.015155328213259467,2500,hgb
opmix_fundeio_share_prev_7d,new,MIX_OPERACIONAL_RECENTE,-0.004547731546940288,0.0022779908513041484,2500,hgb
vessel_wait_known_count,new,HISTORICO_DA_EMBARCACAO,-0.004646061557894636,0.0030303414536614554,2500,hgb
departures_max_prev_7d,new,FLUXO_PORTUARIO_HISTORICO,-0.00485673398369831,0.005705748439202541,2500,hgb
temperature_2m_mean_prev_3d,original,CLIMATICA_HISTORICA,-0.005685545614066238,0.007762868613834974,2500,hgb
port_wait_known_median,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,-0.006065906573465914,0.001586074159966045,2500,hgb
port_total_known_q95,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,-0.006494693613445198,0.0013520445171355915,2500,hgb
wind_gusts_10m_max_prev_1d,original,CLIMATICA_HISTORICA,-0.007990374115311264,0.013892655613298785,2500,hgb
port_operation_known_std,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,-0.008977947959612228,0.003154480409857679,2500,hgb
opmix_reparo_manutencao_share_prev_3d,new,MIX_OPERACIONAL_RECENTE,-0.009090963560251927,0.010300743260131138,2500,hgb
port_wait_known_mean,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,-0.009373756676486286,0.00035312557485933595,2500,hgb
port_operation_known_mean,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,-0.010204568182437868,0.01364713463305122,2500,hgb
wind_speed_10m_max_prev_1d,original,CLIMATICA_HISTORICA,-0.011342129732256012,0.031929177986212996,2500,hgb
departures_max_prev_3d,new,FLUXO_PORTUARIO_HISTORICO,-0.013645710170093158,0.0064258853146499555,2500,hgb
port_operation_known_median,new,DESEMPENHO_HISTORICO_CONHECIDO_DO_PORTO,-0.016060257726624155,0.005537608305447362,2500,hgb
route_total_known_q90,new,HISTORICO_DE_ROTA,-0.01763359017017052,0.014542365783921757,2500,hgb
opmix_carga_share_prev_7d,new,MIX_OPERACIONAL_RECENTE,-0.01765124771296674,0.004223924817388302,2500,hgb
arrival_month_cos,original,TEMPORAL,-0.01839822194912699,0.00810707366132416,2500,hgb
arrival_weekofyear,original,TEMPORAL,-0.02711608017477829,0.010595382241217973,2500,hgb
rain_sum_prev_1d,original,CLIMATICA_HISTORICA,-0.030301933348451843,0.016441712814430416,2500,hgb
temperature_2m_mean_prev_7d,original,CLIMATICA_HISTORICA,-0.03441901105379704,0.007140264171632804,2500,hgb
arrivals_prev_7d,new,FLUXO_PORTUARIO_HISTORICO,-0.035555534414150713,0.011610948705642669,2500,hgb
