port_display,n,mae_original,mae_enriched,absolute_gain_h,percent_gain,actual_q90_h,actual_q95_h
BRMAO006 - MANAUS - AM,102,11.932485029274275,13.4495035712053,-1.5170185419310247,-12.713349635128674,93.08333333333337,135.0016666666665
BRSTM - SANTARÉM - PA,91,77.66988143411047,79.58051726009316,-1.9106358259826948,-2.4599443062154545,325.93333333333334,378.275
BRMCP - MACAPÁ - AP,86,29.221861080183153,31.779411214504,-2.5575501343208487,-8.752180866588457,167.66666666666669,185.00833333333333
BRVIX017 - VITÓRIA - ES,80,26.485462586211376,23.967666059118216,2.517796527093161,9.506333970560716,68.90833333333333,75.0449999999998
BRRS015 - CANOAS - RS,74,9.474870246804068,9.459557532108509,0.015312714695559393,0.16161397778217032,38.0,52.69999999999999
BR052001 - JURITI - PA,73,11.411809052810202,12.426908174899017,-1.0150991220888148,-8.895163925292307,37.129999999999995,67.82999999999993
BRITA001 - ITACOATIARA - AM,71,70.3074627539874,68.96297881722153,1.3444839367658687,1.9122919304745043,365.18333333333334,378.20833333333337
BRTRM001 - IMBÉ - RS,70,51.714407783546626,50.739145170664756,0.9752626128818704,1.8858624794929169,196.80000000000007,300.12499999999983
BR997001 - BELMONTE - BA,70,9.286450083713612,9.055696714710763,0.2307533690028496,2.484839383431783,42.34166666666667,44.699999999999996
BRPOA040 - PORTO ALEGRE - RS,67,14.365100262406363,12.877712815885445,1.487387446520918,10.354173791695896,58.489999999999995,68.82499999999996
BRVIX - VITÓRIA - ES,67,35.769776440366535,29.871789856492224,5.89798658387431,16.488743209528074,129.68333333333334,162.5333333333333
BRIGI008 - ITAGUAÍ - RJ,65,23.806723396328834,26.46887787442993,-2.662154478101094,-11.18236404809751,144.58333333333331,157.45333333333332
BRPOA - PORTO ALEGRE - RS,61,27.866676963920177,28.731231640489028,-0.8645546765688508,-3.102467788635924,74.93333333333334,116.5
BRSSA005 - SALVADOR - BA,61,44.57457041239525,36.473340999169686,8.101229413225568,18.174554097267947,159.71666666666667,177.51666666666668
BRSSO - SÃO SEBASTIÃO - SP,57,26.93359382463301,23.177435926707375,3.756157897925636,13.945995927547989,109.6,115.78333333333333
BRIGI006 - ITAGUAÍ - RJ,55,23.991205992952985,23.500571865455218,0.490634127497767,2.0450582085864406,117.72,140.42333333333335
BRMAO004 - MANAUS - AM,51,21.263983896344637,24.10182233544737,-2.8378384391027325,-13.345751449663993,95.11666666666666,171.88333333333333
